SKU,Product,Offer Type,Storefront Status,Primary Family,Included Products,Count,Launch Price,Regular Price,Mac DMG Path,Mac DMG SHA256,Mac PKG Path,Mac PKG SHA256,Windows Installer Path,Windows SHA256,SHA256 Source,Manual Path,Download 1 Name,Download 1 URL,WooCommerce Product URL,Demo Asset URL,Release Gate Status,Next Action,Notes
DIH-ANKH,ANKH,Individual,Companion bundle draft,MASTERING_CORE,ANKH,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/DMGs/Individual/DIHWorld_Audio_ANKH_Installer_20260630_135105.dmg,9f3b332e8d05d9c9b0491320b537df6f16d6987a901f350c2b7831e205598507,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/PKGs/Individual/DIHWorld_Audio_ANKH_Installer_20260630_135105.pkg,58dd1c5070ce81308e6cc2cb66c0e252949610ddbdb3b20df758cb7a2bf0482b,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,ANKH Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-SPHYNX,SPHYNX,Individual,Companion bundle draft,MASTERING_CORE,SPHYNX,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/DMGs/Individual/DIHWorld_Audio_SPHYNX_Installer_20260630_135105.dmg,1a1aa51a7429e8b2a424d550c6c5231d42913d4936d12e3e96ab248ccac72422,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/PKGs/Individual/DIHWorld_Audio_SPHYNX_Installer_20260630_135105.pkg,405d0b9a0692894848c267f9552d05688bc07d69fac8308ebd6826d0aae8645a,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,SPHYNX Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-MAAT,MAAT,Individual,Companion bundle draft,MASTERING_CORE,MAAT,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/DMGs/Individual/DIHWorld_Audio_Maat_Installer_20260630_135105.dmg,92e2d126f0c3545bbf4f0dd1c5bd38c195c19c3b47b196f2a0665a5e90b7df93,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/PKGs/Individual/DIHWorld_Audio_Maat_Installer_20260630_135105.pkg,94c1208d8bc6814757e2c75bbf6f6f60fa8509ba926d622fc3877ba7dd2369e1,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,MAAT Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-HORIZON-X,HORIZON X,Individual,Companion bundle draft,MASTERING_CORE,HORIZON X,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/DMGs/Individual/DIHWorld_Audio_Horizon_X_Installer_20260630_135105.dmg,142623db25490860f862e3edd95c40001d7d0714ce2cb727803fda2ebf0cc18e,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/PKGs/Individual/DIHWorld_Audio_Horizon_X_Installer_20260630_135105.pkg,22b507926a84faa2b77a56682d977958fc2ad00ecf42300f68483000e98ed3b3,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,HORIZON X Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-PLATINUM,Platinum,Individual,Companion bundle draft,MASTERING_CORE,Platinum,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/DMGs/Individual/DIHWorld_Audio_PLATINUM_Installer_20260630_135105.dmg,e966ba02f892325f5a00d9891976135ffb9c6df0786cc2c23d35e48dc59945c8,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/PKGs/Individual/DIHWorld_Audio_PLATINUM_Installer_20260630_135105.pkg,92c42ce59310e682c6e93bfebeaf47675cb5a87aa57ca7b5261948afb479b32f,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTERING_CORE_CURRENT_DEPLOY_20260630_135105/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,Platinum Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-IMHOTEP,IMHOTEP,Individual,Companion bundle draft,MASTER_FIELD,IMHOTEP,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTER_FIELD_CURRENT_DEPLOY_20260701_083145/DMGs/Individual/DIHWorld_Audio_IMHOTEP_Installer_20260701_083145.dmg,4652eaccf91c3ffd0ef51762b3bb7095fa6500d2843df2d4346baad9e13c8efe,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTER_FIELD_CURRENT_DEPLOY_20260701_083145/PKGs/Individual/DIHWorld_Audio_IMHOTEP_Installer_20260701_083145.pkg,aef13dee8187a23bae8df9f92a9c13846638fda74772bb5ba64103c426787d41,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_MASTER_FIELD_CURRENT_DEPLOY_20260701_083145/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,IMHOTEP Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-AUSET,AUSET,Individual,Full catalog draft,FIELD_TONE_BALANCE,AUSET,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_FIELD_TONE_BALANCE_CURRENT_DEPLOY_20260701_082023/DMGs/Individual/DIHWorld_Audio_AUSET_Installer_20260701_082023.dmg,511cc157d7883be672683acd1a032c62c50077505b16c853ebfd58cc57f04d05,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_FIELD_TONE_BALANCE_CURRENT_DEPLOY_20260701_082023/PKGs/Individual/DIHWorld_Audio_AUSET_Installer_20260701_082023.pkg,e4a5ed1ea2f42be4798fc43081e7d237a349e1cfd82406ea0f71d7ae83b80736,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_FIELD_TONE_BALANCE_CURRENT_DEPLOY_20260701_082023/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,AUSET Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-AUSAR,AUSAR,Individual,Full catalog draft,FIELD_TONE_BALANCE,AUSAR,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_FIELD_TONE_BALANCE_CURRENT_DEPLOY_20260701_082023/DMGs/Individual/DIHWorld_Audio_AUSAR_Installer_20260701_082023.dmg,85fdd4cb8ffcdf06702db2208c5043f463067d4c446b0f6104994998f6e65edc,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_FIELD_TONE_BALANCE_CURRENT_DEPLOY_20260701_082023/PKGs/Individual/DIHWorld_Audio_AUSAR_Installer_20260701_082023.pkg,a3c013a4562d0e810b20d73c495b305a0325a56de6e334722cb7bdbeb5f2067c,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_FIELD_TONE_BALANCE_CURRENT_DEPLOY_20260701_082023/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,AUSAR Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-DEPTH-IMPACT-HYBRID-X,DEPTH IMPACT HYBRID X,Individual,Companion bundle draft,DIMENSIONAL_IMPACT_MOVE,DEPTH IMPACT HYBRID X,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_DIMENSIONAL_IMPACT_MOVE_CURRENT_DEPLOY_20260701_084448/DMGs/Individual/DIHWorld_Audio_Depth_Impact_Hybrid_X_Installer_20260701_084448.dmg,2cdfe713c99d35367a94a8a6d1d59dff881eae93546a570e51fd55a23224d0f4,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_DIMENSIONAL_IMPACT_MOVE_CURRENT_DEPLOY_20260701_084448/PKGs/Individual/DIHWorld_Audio_Depth_Impact_Hybrid_X_Installer_20260701_084448.pkg,b010287357b522b2746125302b0e550669f9db3876ec2ff34d34b4b6513be324,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_DIMENSIONAL_IMPACT_MOVE_CURRENT_DEPLOY_20260701_084448/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,DEPTH IMPACT HYBRID X Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-PARALLAX,PARALLAX,Individual,Companion bundle draft,DIMENSIONAL_IMPACT_MOVE,PARALLAX,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_DIMENSIONAL_IMPACT_MOVE_CURRENT_DEPLOY_20260701_084448/DMGs/Individual/DIHWorld_Audio_PARALLAX_Installer_20260701_084448.dmg,fe78b951d62cd15ade545ae6b7725d25a0e3620101f4ea9c0abb5a3c120b8372,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_DIMENSIONAL_IMPACT_MOVE_CURRENT_DEPLOY_20260701_084448/PKGs/Individual/DIHWorld_Audio_PARALLAX_Installer_20260701_084448.pkg,982aff180a4016ae9426df628788dd37e68361f9a96467a95cfb746a9b204ff6,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_DIMENSIONAL_IMPACT_MOVE_CURRENT_DEPLOY_20260701_084448/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,PARALLAX Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
