filename,asset_key,family_or_type,status,width,height,format,bytes,zip_path
DepthImpactHybrid_depthimpacthybrid.pre-label-fix-20260522.png,DEPTH_IMPACT_HYBRID_X,DIMENSIONAL_IMPACT_MOVE,future-catalog,1024,1024,PNG,3223867,_image_cache/DepthImpactHybrid_depthimpacthybrid.pre-label-fix-20260522.png
DIH_DRUM_MORPHER_DrMorph.png,DIH_DRUM_MORPHER,DRUM_INSTRUMENT,future-catalog,1536,1024,PNG,1431295,_image_cache/DIH_DRUM_MORPHER_DrMorph.png
DRUMKRUSHGLUE_DrumKrushGlue.png,DRUMKRUSHGLUE,DYNAMICS_GUARD,launch-ready,1448,1086,PNG,2004576,_image_cache/DRUMKRUSHGLUE_DrumKrushGlue.png
EchoLocate_echolocate.png,ECHOLOCATE,VOCAL_MIC_SOURCE,future-catalog,1408,768,PNG,1801132,_image_cache/EchoLocate_echolocate.png
Golden_GOLDEN.jpeg,GOLD,VOCAL_MIC_SOURCE,future-catalog,1536,1024,JPEG,400297,_image_cache/Golden_GOLDEN.jpeg
Golden_Golden_Background.png,GOLD,VOCAL_MIC_SOURCE,future-catalog,1165,1350,PNG,2194347,_image_cache/Golden_Golden_Background.png
EVENTHORIZON_EventHorizon_BG_Direction_01.png,HORIZON_X,MASTERING_CORE,future-catalog,1536,1024,PNG,3235735,_image_cache/EVENTHORIZON_EventHorizon_BG_Direction_01.png
HORIZON_horizon.png,HORIZON_X,MASTERING_CORE,future-catalog,1536,1024,PNG,2915542,_image_cache/HORIZON_horizon.png
IMHOTEP_Imhotep.png,IMHOTEP,MASTER_FIELD,future-catalog,1536,1024,PNG,1878072,_image_cache/IMHOTEP_Imhotep.png
IMHOTEP_X_imhotep_x.png,IMHOTEP,MASTER_FIELD,future-catalog,1402,1122,PNG,2838749,_image_cache/IMHOTEP_X_imhotep_x.png
KHEPRI_Khepri.png,KHEPRI,COLOR_AMP_TAPE,future-catalog,2048,1364,PNG,4868304,_image_cache/KHEPRI_Khepri.png
LOOKOUT_lookout.jpg,LOOKOUT,DYNAMICS_GUARD,future-catalog,4032,3024,JPG,1964930,_image_cache/LOOKOUT_lookout.jpg
MAAT_Maat.png,MAAT,MASTERING_CORE,future-catalog,1536,1024,PNG,2753608,_image_cache/MAAT_Maat.png
MARIANA_Mariana.png,MARIANA,BASS_LOW_END,launch-ready,924,2000,PNG,244742,_image_cache/MARIANA_Mariana.png
OTIS_Otis.png,OTIS,DYNAMICS_GUARD,future-catalog,1170,655,PNG,163435,_image_cache/OTIS_Otis.png
PARALLAX_PARALLAX.png,PARALLAX,DIMENSIONAL_IMPACT_MOVE,future-catalog,1313,875,PNG,2536678,_image_cache/PARALLAX_PARALLAX.png
PTAHTUBE_Ptah.png,PTAHTUBE,COLOR_AMP_TAPE,future-catalog,1448,1086,PNG,2623121,_image_cache/PTAHTUBE_Ptah.png
SacredVerb_SacredVerb.png,SACREDVERB,FX_SPATIAL,launch-ready,1408,768,PNG,2064319,_image_cache/SacredVerb_SacredVerb.png
SERQET_Serqet_BG_Direction_01.png,SERQET,CREATIVE_TRANSFORM,future-catalog,1535,1024,PNG,2681079,_image_cache/SERQET_Serqet_BG_Direction_01.png
SESHAT_Seshat.png,SESHAT,UTILITY_OBSERVATION,future-catalog,1536,1024,PNG,2546608,_image_cache/SESHAT_Seshat.png
SILVER_silver_bg.png,SILVER,VOCAL_MIC_SOURCE,future-catalog,1598,984,PNG,2576843,_image_cache/SILVER_silver_bg.png
SLOTMACHINE_slotmachine.jpg,SLOTMACHINE,CREATIVE_TRANSFORM,future-catalog,4032,3024,JPG,3824811,_image_cache/SLOTMACHINE_slotmachine.jpg
SLOTMACHINE_SlotMachine_BG.png,SLOTMACHINE,CREATIVE_TRANSFORM,future-catalog,1024,1536,PNG,3493595,_image_cache/SLOTMACHINE_SlotMachine_BG.png
SOVEREIGN_Sovereign.png,SOVEREIGN,COLOR_AMP_TAPE,future-catalog,1536,1024,PNG,2855273,_image_cache/SOVEREIGN_Sovereign.png
SPHYNX_Sphynx_BG_Direction_01.png,SPHYNX,MASTERING_CORE,future-catalog,1536,1024,PNG,2656069,_image_cache/SPHYNX_Sphynx_BG_Direction_01.png
TEHUTI_Tehuti.png,TEHUTI,HARMONICS_PITCH,future-catalog,2048,2048,PNG,7004864,_image_cache/TEHUTI_Tehuti.png
THOTH_Thoth.png,THOTH,HARMONICS_PITCH,future-catalog,1536,1024,PNG,2185726,_image_cache/THOTH_Thoth.png
TRIPLER_TRIPLER.png,TRIPLER,VOCAL_MIC_SOURCE,future-catalog,1536,1024,PNG,2347438,_image_cache/TRIPLER_TRIPLER.png
WPR _WPR.png,WPR,VOCAL_MIC_SOURCE,future-catalog,843,1264,PNG,246480,_image_cache/WPR _WPR.png
WPR_MKVI_SIGNATURE_WPR.png,WPR,VOCAL_MIC_SOURCE,future-catalog,843,1264,PNG,246480,_image_cache/WPR_MKVI_SIGNATURE_WPR.png
APIS_background_stripped.png,APIS,COLOR_AMP_TAPE,future-catalog,1536,1024,PNG,2276246,_image_cache/APIS_background_stripped.png
DIH_World_Audio Disk Image.PNG,BRAND,Brand,launch-ready,1254,1254,PNG,2728631,_image_cache/DIH_World_Audio Disk Image.PNG
DIHWorld_Audio_Logo.jpg,BRAND,Brand,launch-ready,1254,1254,JPG,446599,_image_cache/DIHWorld_Audio_Logo.jpg
NTRPL_ntrpl.png,NTRPL,BASS_LOW_END,future-catalog,1774,887,PNG,1271332,_image_cache/NTRPL_ntrpl.png
PLATINUM_platinum_bg.png,PLATINUM,MASTERING_CORE,future-catalog,1553,1013,PNG,1708835,_image_cache/PLATINUM_platinum_bg.png
NTRSTLLR_NTRSTLLR.png,NTRSTLLR,FX_SPATIAL,future-catalog,1170,633,PNG,220012,_image_cache/NTRSTLLR_NTRSTLLR.png
ACCHORD_ACRD_Background.png,REVIEW,Review / legacy / reference,review-before-upload,1402,1122,PNG,2119314,_image_cache/ACCHORD_ACRD_Background.png
AEGIS_aegis.png,REVIEW,Review / legacy / reference,review-before-upload,1536,1024,PNG,2532200,_image_cache/AEGIS_aegis.png
DIHV2_Dih.png,REVIEW,Review / legacy / reference,review-before-upload,1024,1024,PNG,1946168,_image_cache/DIHV2_Dih.png
EXCAVATOR_Excavator.png,REVIEW,Review / legacy / reference,review-before-upload,1402,1122,PNG,2416989,_image_cache/EXCAVATOR_Excavator.png
HEKA_Heka2.png,REVIEW,Review / legacy / reference,review-before-upload,1536,1024,PNG,1934195,_image_cache/HEKA_Heka2.png
IMPACTFX_impactfx.jpg,REVIEW,Review / legacy / reference,review-before-upload,4032,3024,JPG,3932472,_image_cache/IMPACTFX_impactfx.jpg
IMPACTFX_train.png,REVIEW,Review / legacy / reference,review-before-upload,1170,1980,PNG,274585,_image_cache/IMPACTFX_train.png
INVERSEIMPACT_InverseImpact.png,REVIEW,Review / legacy / reference,review-before-upload,397,358,PNG,78479,_image_cache/INVERSEIMPACT_InverseImpact.png
NEBULA_Nebula_BG_Direction_01.png,REVIEW,Review / legacy / reference,review-before-upload,1536,1024,PNG,2654691,_image_cache/NEBULA_Nebula_BG_Direction_01.png
OBELISK_Obelisk_BG_Direction_01.png,REVIEW,Review / legacy / reference,review-before-upload,1536,1024,PNG,2711335,_image_cache/OBELISK_Obelisk_BG_Direction_01.png
OSIRIS_Osiris_BG_Direction_01.png,REVIEW,Review / legacy / reference,review-before-upload,1536,1024,PNG,2769580,_image_cache/OSIRIS_Osiris_BG_Direction_01.png
PARALUXE_PARALUXE.png,REVIEW,Review / legacy / reference,review-before-upload,1260,687,PNG,454112,_image_cache/PARALUXE_PARALUXE.png
RA_ra_touch_bg.png,REVIEW,Review / legacy / reference,review-before-upload,1536,1024,PNG,3111347,_image_cache/RA_ra_touch_bg.png
URA_URA_ice_Friz_reference.png,REVIEW,Review / legacy / reference,review-before-upload,1535,1024,PNG,1758309,_image_cache/URA_URA_ice_Friz_reference.png
WORMHOLE_Wormhole_BG_Direction_01.png,REVIEW,Review / legacy / reference,review-before-upload,1536,1024,PNG,2705367,_image_cache/WORMHOLE_Wormhole_BG_Direction_01.png
